Color,H,S,V,R,G,B,Hexadecimal,Notes
Red,346,96,93,237,10,63,#ED0A3F[1],Produced 1903–present.[2]
Maroon,346,83,76,195,33,72,#C32148[1],"Produced 1949–present. Known as ""Dark Red"", 1949–1958.[2]"
Scarlet,350,94,99,253,14,53,#FD0E35[1],"Produced 1998–present. Known as ""Torch Red"", 1998.[2]"
Brick Red,352,77,78,198,45,66,#C62D42[1],Produced 1958–present.[2]
English Vermilion,358,65,80,204,71,75,#CC474B[3],"Also spelled ""Vermillion."" Produced 1903–1935.[2]"
Madder Lake,359,75,80,204,51,54,#CC3336[3],Produced 1903–1935.[2]
Permanent Geranium Lake,0,80,88,225,44,44,#E12C2C[b],Produced 1903–circa 1910.[2]
Maximum Red,0,85,85,217,33,33,#D92121[c],"Part of the Munsell line, 1926–1944.[2]"
Indian Red,3,61,73,185,78,72,#B94E48[1],"Produced 1903–present. Known as ""Chestnut"" since 1999.[2]"
Orange-Red,3,71,100,255,63,52,#FF5349[1],Produced 1958–1990.[2]
Sunset Orange,4,75,100,254,76,64,#FE4C40[1],Produced 1997–present.[2]
Bittersweet,6,63,100,254,111,94,#FE6F5E[1],Produced 1958–present.[2]
Dark Venetian Red,10,80,70,179,59,36,#B33B24[3],"""Venetian Red, Dark"" on labels. Produced 1903–circa 1910.[2]"
Venetian Red,10,70,80,204,85,61,#CC553D[3],Produced 1903–1944.[2]
Light Venetian Red,10,60,90,230,115,92,#E6735C[3],"""Venetian Red, Light"" on labels. Produced 1903–circa 1910.[2]"
Vivid Tangerine,12,50,100,255,153,128,#FF9980[1],Produced 1990–present.[2]
Middle Red,15,50,90,229,144,115,#E58E73[3],"Part of the Munsell line, 1926–1944.[2]"
Burnt Orange,18,71,100,255,112,52,#FF7034[1],Produced 1958–present.[2]
Red-Orange,20,88,100,255,104,31,#FF681F[1],Produced 1930–present.[2]
Orange,25,80,100,255,136,100,#FF8833[1],Produced 1903–present.[2]
Macaroni and Cheese,28,52,100,255,185,123,#FFB97B[1],"Produced 1993–present. Also found as ""Macaroni & Cheese"" and ""Macaroni-n-Cheese"".[2]"
Middle Yellow Red,30,50,93,236,177,118,#ECB176[3],"Part of the Munsell line, 1926–1944. Same color as ""Medium Orange"" (1949–1958).[2]"
Mango Tango,30,100,91,231,114,0,#E77200[1],Produced 2003–present.[2]
Yellow-Orange,34,74,100,255,174,66,#FFAE42[1],Produced 1930–present.[2]
Maximum Yellow Red,40,70,95,242,186,73,#F2BA49[3],"Part of the Munsell line, 1926–1944.[2]"
Banana Mania,44,29,98,251,231,178,#FBE7B2[1],Produced 1998–present.[2]
Maize,44,70,95,242,198,73,#F2C649[3],"Produced 1903–1990. Known as ""Gold Ochre"", 1903–1958. ""Golden Ochre"" on some labels.[2]"
Orange-Yellow,45,58,97,248,213,104,#F8D568[1],Produced 1958–1990.[2]
Goldenrod,45,59,99,252,214,103,#FCD667[1],"Produced 1903–present. Known as ""Medium Chrome Yellow"" (1903–?) and ""Medium Yellow"" (1903–1958).[2]"
Dandelion,46,63,100,254,216,93,#FED85D[1],Produced 1990–2017.[2][4][5]
Yellow,52,55,98,252,232,131,#FBE870[1],Produced 1903–present.[2]
Green-Yellow,54,44,95,241,231,136,#F1E788[1],Produced 1958–present.[2]
Middle Yellow,55,100,100,255,235,0,#FFEB00[3],"Part of the Munsell line, 1926–1944.[2]"
Olive Green,59,49,71,181,179,92,#B5B35C[1],Produced 1903–present.[2]
Spring Green,59,20,93,236,235,189,#ECEBBD[1],Produced 1958–present.[2]
Maximum Yellow,60,78,98,250,250,55,#FAFA37[3],"Part of the Munsell line, 1926–1944.[2]"
Canary,60,40,100,255,255,153,#FFFF99[1],Produced 1998–present.[2]
Lemon Yellow,60,38,100,255,255,159,#FFFF9F[3][d],"Produced 1903–1990. Also known as ""Light Chrome Yellow"" (on labels ""Chrome Yellow, Light"") or ""Light Yellow"", 1903–1958. On labels ""Chrome Yellow, Light.""[2]"
Maximum Green Yellow,65,65,90,217,230,80,#D9E650[3],"Part of the Munsell line, 1926–1944.[2]"
Middle Green Yellow,72,50,75,172,191,96,#ACBF60[3],"Part of the Munsell line, 1926–1944.[2]"
Inchworm,75,92,89,175,227,19,#AFE313[1],Produced 2003–present.[2]
Light Chrome Green,75,67,90,190,230,75,#BEE64B[3],"""Chrome Green, Light"" on labels. Produced 1903–1935. Same color as ""Light Green"" (1903–1935).[2]"
Yellow-Green,76,46,88,197,225,122,#C5E17A[1],Produced 1930–present.[2]
Maximum Green,90,65,55,94,140,49,#5E8C31[3],"Part of the Munsell line, 1926–1944.[2]"
Asparagus,92,43,63,123,160,91,#7BA05B[1],Produced 1993–present.[2]
Granny Smith Apple,112,34,88,157,224,147,#9DE093[1],Produced 1993–present.[2]
Fern,126,46,72,99,183,108,#63B76C[1],Produced 1998–present.[2]
Middle Green,130,45,55,77,140,87,#4D8C57[3],"Part of the Munsell line, 1926–1944.[2]"
Green,135,65,65,58,166,85,#3AA655[3],Produced 1903–present.[2]
Medium Chrome Green,137,35,65,108,166,124,#6CA67C[3],"""Chrome Green, Medium"" on labels. Produced 1903–1939. Same color as ""Medium Green"" (1903–1939).[2]"
Forest Green,140,43,65,95,167,119,#5FA777[1],"Produced 1949–present. Known as ""Dark Green"", 1949–1958.[2]"
Sea Green,149,34,87,147,223,184,#93DFB8[1],"Produced 1949–present. Known as ""Light Green"", 1949–1958.[2]"
Shamrock,160,75,80,51,204,153,#33CC99[1],Produced 1993–present.[2]
Mountain Meadow,162,85,70,26,179,133,#1AB385[1],Produced 1998–present.[2]
Jungle Green,163,76,67,41,171,135,#29AB87[1],Produced 1990–present.[2]
Caribbean Green,165,100,80,0,204,153,#00CC99[1],Produced 1997–present.[2]
Tropical Rain Forest,168,100,46,0,117,94,#00755E[1],Produced 1993–present.[2]
Middle Blue Green,170,35,85,141,217,204,#8DD9CC[3],"Part of the Munsell line, 1926–1944.[2]"
Pine Green,175,99,47,1,120,111,#01786F[1],"Produced 1903–1949, 1958–present. Known as ""Dark Chrome Green"" (""Chrome Green, Dark"" on labels) or ""Dark Green"", 1903–1949.[2]"
Maximum Blue Green,180,75,75,48,191,191,#30BFBF[3],"Part of the Munsell line, 1926–1944.[2]"
Robin's Egg Blue,180,100,80,0,204,204,#00CCCC[1],Produced 1993–present.[2]
Teal Blue,180,100,50,0,128,128,#008080[1],Produced 1990–2003.[2]
Light Blue,180,34,85,143,216,216,#8FD8D8[1],Produced only in 1958.[2]
Aquamarine,186,36,91,149,224,232,#95E0E8[3][e],"Produced 1949–present. Known as ""Light Turquoise Blue"", 1949–1958.[2]"
Turquoise Blue,186,53,91,108,218,231,#6CDAE7[1],"Produced 1935–present. Available only in bulk, 1935–1949.[2]"
Outer Space,189,22,23,45,56,58,#2D383A[1],Produced 1998–present.[2]
Sky Blue,190,50,92,118,215,234,#76D7EA[1],Produced 1958–present.[2]
Middle Blue,190,45,90,126,212,230,#7ED4E6[3],"Part of the Munsell line, 1926–1944.[2]"
